meta_analysis,file_name,es_index,metric,yi,sei,vi,meta_k,meta_metric,meta_avgES,meta_medSE,meta_I_sq,meta_FE_est,meta_RE_est,meta_WLS_est,meta_WW_est,meta_PP_est,meta_pow_WL,meta_pow_PP,meta_pow_WW,is_adequately_powered_WLS,is_adequately_powered_PP,is_adequately_powered_WW,power_individual
Balliet68,Balliet68.dta,38,d,0.5,0.12755102040816327,0.016269262807163683,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,FALSE,FALSE,FALSE,0.9750021048517796
Balliet68,Balliet68.dta,39,d,0.18,0.1326530612244898,0.01759683465222824,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,FALSE,FALSE,FALSE,0.2732287587498251
Balliet68,Balliet68.dta,40,d,0.27,0.13775510204081634,0.018976468138275724,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,FALSE,FALSE,FALSE,0.5
Balliet68,Balliet68.dta,41,d,0.21,0.13775510204081634,0.018976468138275724,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,FALSE,FALSE,FALSE,0.33157961146867854
Balliet68,Balliet68.dta,42,d,0.5,0.13775510204081634,0.018976468138275724,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,FALSE,FALSE,FALSE,0.952503667801349
Balliet68,Balliet68.dta,43,d,0.36,0.13775510204081634,0.018976468138275724,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,FALSE,FALSE,FALSE,0.7432292962887324
Balliet68,Balliet68.dta,44,d,0.48,0.14285714285714288,0.020408163265306128,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,FALSE,FALSE,FALSE,0.9192433407662288
Balliet68,Balliet68.dta,45,d,0.19,0.14795918367346939,0.02189192003331945,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,FALSE,FALSE,FALSE,0.24956411114540566
Balliet68,Balliet68.dta,46,d,-0.17,0.1479591836734694,0.021891920033319457,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,FALSE,FALSE,FALSE,0.2086729342698077
Balliet68,Balliet68.dta,47,d,0.58,0.1479591836734694,0.021891920033319457,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,FALSE,FALSE,FALSE,0.9750021048517795
Balliet68,Balliet68.dta,48,d,-0.22,0.15306122448979592,0.0234277384423157,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,FALSE,FALSE,FALSE,0.3006031193060885
Balliet68,Balliet68.dta,49,d,0.68,0.15816326530612243,0.02501561849229487,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,FALSE,FALSE,FALSE,0.9903414616218421
Balliet68,Balliet68.dta,50,d,0.63,0.15816326530612243,0.02501561849229487,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,FALSE,FALSE,FALSE,0.97847506390564
Balliet68,Balliet68.dta,51,d,0.39,0.15816326530612243,0.02501561849229487,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,FALSE,FALSE,FALSE,0.6935037355061118
Balliet68,Balliet68.dta,52,d,0.35,0.15816326530612249,0.02501561849229489,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,FALSE,FALSE,FALSE,0.5998285016709045
Balliet68,Balliet68.dta,53,d,0.6,0.15816326530612249,0.02501561849229489,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,FALSE,FALSE,FALSE,0.9666394701605069
Balliet68,Balliet68.dta,54,d,0.22,0.15816326530612249,0.02501561849229489,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,FALSE,FALSE,FALSE,0.28466712434644315
Balliet68,Balliet68.dta,55,d,0.05,0.163265306122449,0.02665556018325698,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,FALSE,FALSE,FALSE,0.0490891594508599
Balliet68,Balliet68.dta,56,d,0.2,0.163265306122449,0.02665556018325698,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,FALSE,FALSE,FALSE,0.23116974706066484
