file,n_rows,has_es,has_r,has_d,has_g,has_correlation,n_es,n_r,n_d,n_g,n_correlation,es_equals_r,n_both_es_r,max_diff_es_r,es_equals_d,n_both_es_d,max_diff_es_d,es_equals_g,n_both_es_g,max_diff_es_g,es_equals_correlation,n_both_es_corr,max_diff_es_corr,max_abs_es,prop_es_above_1,likely_metric
Stumm69-3.dta,5,TRUE,FALSE,FALSE,FALSE,FALSE,5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0,r
Stumm69-4.dta,37,TRUE,FALSE,FALSE,FALSE,FALSE,37,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0,r
Stumm69-5.dta,10,TRUE,FALSE,FALSE,FALSE,FALSE,10,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0,r
Stumm69-6.dta,15,TRUE,FALSE,FALSE,FALSE,FALSE,15,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,r
Stumm69-7.dta,42,TRUE,FALSE,FALSE,FALSE,FALSE,42,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,0,r
Stumm69-8.dta,18,TRUE,FALSE,FALSE,FALSE,FALSE,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,0,r
Stumm69-9.dta,13,TRUE,FALSE,FALSE,FALSE,FALSE,13,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,0,r
Tannenbaum101-1.dta,21,TRUE,FALSE,FALSE,FALSE,FALSE,21,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.58,0.09523809523809523,d
Toosi et al80-1.dta,41,TRUE,FALSE,FALSE,FALSE,FALSE,41,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,0,r
Toosi et al80-2.dta,32,TRUE,FALSE,FALSE,FALSE,FALSE,32,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,0,r
Toosi et al80-3.dta,37,TRUE,FALSE,FALSE,FALSE,FALSE,37,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,0,r
Toosi et al80-4.dta,55,TRUE,FALSE,FALSE,FALSE,FALSE,55,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,0,r
Vachon100.1.dta,104,TRUE,FALSE,FALSE,FALSE,FALSE,103,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.484,0,r
Verhage59-1.dta,83,TRUE,FALSE,FALSE,FALSE,FALSE,83,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73,0,r
Verhage59-2.dta,47,TRUE,FALSE,FALSE,FALSE,FALSE,47,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,0,r
Voyer and Voyer64-1.dta,258,TRUE,FALSE,FALSE,FALSE,FALSE,258,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7648812860121517,0.011627906976744186,d
Voyer and Voyer64-2.dta,26,TRUE,FALSE,FALSE,FALSE,FALSE,26,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.792986301369863,0,r
Voyer and Voyer64-3.dta,81,TRUE,FALSE,FALSE,FALSE,FALSE,81,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0923954372623574,0.037037037037037035,d
Voyer and Voyer64-4.dta,93,TRUE,FALSE,FALSE,FALSE,FALSE,93,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.745034965034965,0,r
Voyer and Voyer64-5.dta,31,TRUE,FALSE,FALSE,FALSE,FALSE,31,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41907175572519084,0,r
Voyer and Voyer64-6.dta,13,TRUE,FALSE,FALSE,FALSE,FALSE,13,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7470198675496689,0,r
Vucasovic54-1.dta,54,TRUE,FALSE,FALSE,FALSE,FALSE,54,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0,r
kim et al78.dta,86,TRUE,FALSE,FALSE,FALSE,FALSE,86,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,0,r
