meta_analysis,meta_metric,k,k_with_data,mean_yi,median_sei
Vachon100.1,d,104,103,-0.08691262135922331,0.0917688249972686
Verhage59-1,d,83,83,0.3010843373493976,0.14124085666632277
Verhage59-2,d,47,47,0.2051063829787234,0.125
Voyer and Voyer64-1,d,258,258,0.27679753179690547,0.11182251117048145
Voyer and Voyer64-2,d,26,26,0.24478513832287874,0.09163621357631097
Voyer and Voyer64-3,d,81,81,0.3509987717556403,0.10603978950996844
Voyer and Voyer64-4,d,93,93,0.13547734583472293,0.11562109840569008
Voyer and Voyer64-5,d,31,31,0.13081419526592275,0.10575490529888472
Voyer and Voyer64-6,d,13,13,0.29114064019597835,0.11941314489552714
Vucasovic54-1,d,54,54,0.39444444444444443,0.07150000000000001
kim et al78,d,86,86,0.42616279069767443,0.06969452275980266
Cerasoli63,r,183,183,0.2373224043715847,0.07593207802617272
Dregner71,r,178,178,0.27854198314606743,0.053058499999999995
Kuykendall56-3,r,42,42,0.36,0.0745768931980866
Lee19-1,r,114,114,0.3366929824561403,0.054679444059729576
